order_id,customer_id,order_date,payment_method,order_status
ORD000183,CUST04144,2025-08-03,Debit Card,Delivered
ORD000184,CUST05695,2026-05-22,Debit Card,Cancelled
ORD000185,CUST10754,2024-12-03,COD,Delivered
ORD000186,CUST08983,2026-06-05,UPI,Delivered
ORD000187,CUST11315,2024-01-23,UPI,Delivered
ORD000188,CUST02274,2025-04-30,COD,Delivered
ORD000189,CUST11632,2025-06-09,UPI,Delivered
ORD000190,CUST03152,2025-11-22,Net Banking,Cancelled
ORD000191,CUST09116,2024-03-27,Net Banking,Delivered
ORD000192,CUST09422,2026-06-11,Credit Card,Delivered
ORD000193,CUST04724,2024-02-17,COD,Delivered
ORD000194,CUST11009,2026-05-16,Net Banking,Delivered
ORD000195,CUST11263,2026-04-04,Debit Card,Delivered
ORD000196,CUST09193,2025-11-03,UPI,Delivered
ORD000197,CUST07567,2026-03-16,Net Banking,Returned
ORD000198,CUST09433,2025-03-24,Net Banking,Delivered
ORD000199,CUST08648,2025-06-01,COD,Delivered
ORD000200,CUST11879,2025-10-22,Debit Card,Returned
ORD000201,CUST11839,2024-01-27,Net Banking,Delivered
ORD000202,CUST04095,2024-11-20,Debit Card,Delivered
ORD000203,CUST01767,2025-04-19,UPI,Delivered
ORD000204,CUST09715,2025-05-20,UPI,Pending
ORD000205,CUST10478,2025-05-06,UPI,Delivered
ORD000206,CUST08107,2025-10-07,Credit Card,Delivered
ORD000207,CUST09523,2026-03-18,COD,Delivered
ORD000208,CUST02810,2024-06-01,UPI,Delivered
ORD000209,CUST10982,2025-05-13,Credit Card,Delivered
ORD000210,CUST09313,2026-04-16,Credit Card,Delivered
ORD000211,CUST08844,2025-12-02,COD,Cancelled
ORD000212,CUST05213,2024-03-19,UPI,Delivered
ORD000213,CUST04748,2024-02-15,COD,Delivered
ORD000214,CUST09245,2025-03-07,COD,Delivered
ORD000215,CUST09065,2025-02-25,Net Banking,Delivered
ORD000216,CUST09277,2025-07-26,COD,Delivered
ORD000217,CUST10281,2025-08-15,Credit Card,Delivered
ORD000218,CUST11758,2024-09-29,UPI,Delivered
ORD000219,CUST06804,2025-07-13,COD,Delivered
ORD000220,CUST04066,2024-02-02,Credit Card,Cancelled
ORD000221,CUST05934,2025-06-13,UPI,Returned
ORD000222,CUST02807,2024-02-05,Debit Card,Delivered
ORD000223,CUST09886,2026-04-01,Credit Card,Delivered
ORD000224,CUST10535,2026-06-17,Debit Card,Delivered
ORD000225,CUST05299,2024-03-29,Debit Card,Delivered
ORD000226,CUST10498,2026-05-16,Net Banking,Delivered
ORD000227,CUST10970,2026-05-26,Debit Card,Delivered
ORD000228,CUST01473,2025-10-21,Credit Card,Delivered
ORD000229,CUST03740,2025-09-03,COD,Delivered
ORD000230,CUST03379,2026-05-24,UPI,Delivered
ORD000231,CUST05116,2024-01-31,Net Banking,Delivered
ORD000232,CUST09480,2024-01-21,UPI,Delivered
ORD000233,CUST10527,2025-10-01,Credit Card,Delivered
ORD000234,CUST09767,2024-12-22,COD,Delivered
ORD000235,CUST09404,2024-10-16,Debit Card,Delivered
ORD000236,CUST10482,2026-01-11,Debit Card,Delivered
ORD000237,CUST01619,2024-07-03,Credit Card,Delivered
ORD000238,CUST10445,2025-11-07,Credit Card,Delivered
ORD000239,CUST08848,2026-02-07,UPI,Returned
ORD000240,CUST10519,2025-07-22,UPI,Delivered
ORD000241,CUST00395,2024-11-06,UPI,Delivered
ORD000242,CUST00472,2025-11-01,Debit Card,Delivered
ORD000243,CUST09910,2025-06-18,Credit Card,Delivered
ORD000244,CUST07180,2025-09-10,Net Banking,Delivered
ORD000245,CUST03364,2025-09-05,Debit Card,Returned
ORD000246,CUST04153,2025-01-03,Net Banking,Cancelled
ORD000247,CUST08656,2024-11-26,UPI,Delivered
ORD000248,CUST09154,2026-03-26,UPI,Delivered
ORD000249,CUST00602,2025-02-07,Credit Card,Delivered
ORD000250,CUST04612,2024-12-22,COD,Delivered
ORD000251,CUST02781,2026-06-21,COD,Delivered
ORD000252,CUST06800,2024-04-08,UPI,Delivered
ORD000253,CUST00022,2025-10-03,COD,Delivered
ORD000254,CUST07275,2024-09-07,COD,Delivered
ORD000255,CUST02474,2026-01-06,UPI,Delivered
ORD000256,CUST07407,2024-10-22,Credit Card,Delivered
ORD000257,CUST08231,2025-02-11,Debit Card,Delivered
ORD000258,CUST03829,2024-12-24,COD,Delivered
ORD000259,CUST07830,2026-08-27,Net Banking,Delivered
ORD000260,CUST08222,2025-09-13,COD,Delivered
ORD000261,CUST07582,2024-01-09,Debit Card,Delivered
ORD000262,CUST02209,2025-09-25,Debit Card,Delivered
ORD000263,CUST00616,2024-10-25,Debit Card,Delivered
ORD000264,CUST05790,2026-05-14,Debit Card,Delivered
ORD000265,CUST10549,2025-07-16,Net Banking,Cancelled
ORD000266,CUST06042,2025-12-25,Credit Card,Delivered
ORD000267,CUST02182,2026-08-31,Debit Card,Delivered
ORD000268,CUST02614,2025-07-15,Debit Card,Delivered
ORD000269,CUST04024,2024-12-08,Net Banking,Delivered
ORD000270,CUST09859,2024-07-22,COD,Delivered
ORD000271,CUST07993,2024-05-29,COD,Delivered
ORD000272,CUST00080,2025-08-26,Net Banking,Delivered
ORD000273,CUST07131,2025-08-25,COD,Delivered
ORD000274,CUST05240,2024-01-10,UPI,Delivered
ORD000275,CUST01158,2024-07-28,Credit Card,Delivered
ORD000276,CUST09933,2025-12-07,COD,Delivered
ORD000277,CUST00447,2025-01-22,Net Banking,Delivered
ORD000278,CUST09244,2024-01-30,UPI,Delivered
ORD000279,CUST05421,2025-04-13,Credit Card,Cancelled
ORD000280,CUST09786,2024-05-29,Debit Card,Pending
ORD000281,CUST00979,2024-04-01,COD,Delivered
ORD000282,CUST00029,2025-12-13,Credit Card,Returned
ORD000283,CUST10079,2024-12-29,Credit Card,Delivered
ORD000284,CUST02425,2024-10-23,Debit Card,Delivered
ORD000285,CUST01974,2025-05-03,Credit Card,Delivered
ORD000286,CUST11577,2025-10-17,COD,Delivered
ORD000287,CUST00033,2026-08-09,UPI,Delivered
ORD000288,CUST07622,2025-04-29,COD,Delivered
ORD000289,CUST05056,2025-08-03,Net Banking,Pending
ORD000290,CUST08812,2025-10-15,Credit Card,Delivered
ORD000291,CUST02948,2025-03-11,Debit Card,Delivered
ORD000292,CUST07669,2024-01-14,Net Banking,Delivered
ORD000293,CUST09488,2025-11-17,Credit Card,Returned
ORD000294,CUST02549,2026-02-22,Credit Card,Delivered
ORD000295,CUST09091,2024-12-24,UPI,Delivered
ORD000296,CUST11097,2025-07-08,Debit Card,Cancelled
ORD000297,CUST04799,2025-08-02,COD,Delivered
ORD000298,CUST03665,2026-02-05,Credit Card,Delivered
ORD000299,CUST01942,2026-07-21,Net Banking,Delivered
ORD000300,CUST11346,2025-10-15,Debit Card,Delivered
ORD000301,CUST10848,2024-02-10,COD,Delivered
ORD000302,CUST03218,2024-03-27,Net Banking,Delivered
ORD000303,CUST06713,2026-04-20,Debit Card,Delivered
ORD000304,CUST06428,2025-02-11,UPI,Delivered
ORD000305,CUST10920,2024-03-15,Net Banking,Delivered
ORD000306,CUST05015,2024-01-19,Debit Card,Delivered
ORD000307,CUST06280,2026-02-18,COD,Delivered
ORD000308,CUST03244,2026-03-25,Credit Card,Returned
ORD000309,CUST04985,2025-09-01,Debit Card,Delivered
ORD000310,CUST09775,2024-05-19,Net Banking,Delivered
ORD000311,CUST07178,2024-05-10,COD,Delivered
ORD000312,CUST02345,2026-07-14,Credit Card,Delivered
ORD000313,CUST02755,2024-07-04,COD,Delivered
ORD000314,CUST04095,2025-01-01,Credit Card,Delivered
ORD000315,CUST00330,2024-06-22,UPI,Delivered
ORD000316,CUST11697,2024-06-27,UPI,Returned
ORD000317,CUST06592,2026-05-16,COD,Delivered
ORD000318,CUST08207,2025-06-10,Credit Card,Delivered
ORD000319,CUST02264,2026-03-21,Credit Card,Delivered
ORD000320,CUST09917,2025-02-09,Debit Card,Delivered
ORD000321,CUST05373,2024-09-21,Debit Card,Delivered
ORD000322,CUST04426,2024-12-13,UPI,Delivered
ORD000323,CUST02612,2026-05-10,UPI,Delivered
ORD000324,CUST05550,2024-02-08,Credit Card,Returned
ORD000325,CUST01083,2024-08-18,Credit Card,Delivered
ORD000326,CUST06320,2025-05-01,Net Banking,Delivered
ORD000327,CUST03890,2024-11-19,Debit Card,Delivered
ORD000328,CUST03420,2024-02-26,Credit Card,Cancelled
ORD000329,CUST04457,2025-03-27,Credit Card,Pending
ORD000330,CUST01790,2024-09-19,UPI,Delivered
ORD000331,CUST07234,2025-05-28,COD,Delivered
ORD000332,CUST06057,2024-02-23,UPI,Returned
ORD000333,CUST02618,2025-02-24,Credit Card,Returned
ORD000334,CUST08831,2026-08-27,Debit Card,Delivered
ORD000335,CUST02564,2025-02-15,COD,Delivered
ORD000336,CUST10475,2024-02-28,Net Banking,Cancelled
ORD000337,CUST02481,2025-03-05,UPI,Delivered
ORD000338,CUST05152,2025-03-22,Net Banking,Delivered
ORD000339,CUST11258,2025-02-22,Debit Card,Returned
ORD000340,CUST05807,2026-05-16,COD,Delivered
ORD000341,CUST01598,2026-06-01,Debit Card,Delivered
ORD000342,CUST02274,2024-04-03,COD,Delivered
ORD000343,CUST06288,2024-07-31,Net Banking,Delivered
ORD000344,CUST09668,2025-07-23,Net Banking,Delivered
ORD000345,CUST06162,2025-12-29,Debit Card,Delivered
ORD000346,CUST02780,2025-10-14,COD,Returned
ORD000347,CUST06890,2026-04-18,Net Banking,Delivered
ORD000348,CUST05510,2026-06-20,COD,Delivered
ORD000349,CUST00747,2024-07-30,Net Banking,Delivered
ORD000350,CUST02410,2026-03-23,Credit Card,Returned
ORD000351,CUST10832,2024-05-12,Net Banking,Delivered
ORD000352,CUST11557,2024-06-14,Credit Card,Delivered
ORD000353,CUST06079,2026-07-28,Debit Card,Returned
ORD000354,CUST04945,2024-08-19,Credit Card,Delivered
ORD000355,CUST06244,2024-01-25,Debit Card,Delivered
ORD000356,CUST04352,2026-04-29,Credit Card,Pending
ORD000357,CUST05435,2025-02-02,Debit Card,Returned
ORD000358,CUST09055,2025-12-12,Net Banking,Delivered
ORD000359,CUST10402,2026-04-24,UPI,Delivered
ORD000360,CUST10533,2026-07-23,UPI,Delivered
ORD000361,CUST00162,2024-02-17,UPI,Delivered
ORD000362,CUST04013,2024-02-21,Credit Card,Delivered
ORD000363,CUST05761,2024-02-29,UPI,Delivered
ORD000364,CUST07933,2025-04-17,Debit Card,Delivered
ORD000365,CUST03215,2026-03-01,Credit Card,Delivered
ORD000366,CUST06367,2025-03-28,Credit Card,Delivered
ORD000367,CUST06451,2026-03-30,Net Banking,Delivered
ORD000368,CUST09826,2026-05-03,Debit Card,Delivered
ORD000369,CUST00571,2026-01-20,Debit Card,Delivered
ORD000370,CUST11777,2026-02-28,Net Banking,Delivered
ORD000371,CUST06289,2025-06-20,COD,Delivered
ORD000372,CUST03896,2024-07-01,Net Banking,Delivered
ORD000373,CUST06801,2024-08-26,COD,Delivered
ORD000374,CUST08978,2024-03-04,UPI,Delivered
ORD000375,CUST00823,2024-11-16,UPI,Delivered
ORD000376,CUST06627,2025-05-30,UPI,Delivered
ORD000377,CUST09775,2026-03-30,UPI,Delivered
ORD000378,CUST11984,2025-09-20,Net Banking,Delivered
ORD000379,CUST08625,2026-07-16,UPI,Delivered
ORD000380,CUST10482,2025-07-18,Net Banking,Delivered
ORD000381,CUST07063,2025-06-21,Debit Card,Pending
ORD000382,CUST10856,2025-09-03,Debit Card,Returned
ORD000383,CUST04373,2025-12-19,Credit Card,Cancelled
ORD000384,CUST03741,2026-07-19,Debit Card,Delivered
ORD000385,CUST02734,2025-12-31,COD,Returned
ORD000386,CUST06244,2025-06-09,COD,Returned
ORD000387,CUST11348,2025-02-21,UPI,Delivered
ORD000388,CUST05173,2025-07-25,Credit Card,Delivered
ORD000389,CUST08839,2025-10-26,Net Banking,Delivered
ORD000390,CUST09502,2025-07-19,Net Banking,Delivered
ORD000391,CUST01885,2026-02-05,Net Banking,Cancelled
ORD000392,CUST10996,2025-02-14,UPI,Delivered
ORD000393,CUST04673,2024-01-21,Credit Card,Delivered
ORD000394,CUST05141,2026-08-01,Debit Card,Delivered
ORD000395,CUST07468,2025-06-30,Debit Card,Delivered
ORD000396,CUST06503,2025-11-22,UPI,Returned
ORD000397,CUST07928,2025-03-29,COD,Pending
ORD000398,CUST08335,2025-04-27,Net Banking,Delivered
ORD000399,CUST04706,2024-06-02,COD,Delivered
ORD000400,CUST07170,2025-10-16,Debit Card,Delivered
ORD000401,CUST00643,2024-01-05,UPI,Delivered
ORD000402,CUST07856,2025-11-03,COD,Delivered
ORD000403,CUST02500,2026-07-09,Debit Card,Delivered
ORD000404,CUST04143,2025-09-24,UPI,Delivered
ORD000405,CUST10993,2025-12-21,Net Banking,Delivered
ORD000406,CUST08619,2026-08-05,Credit Card,Delivered
ORD000407,CUST00868,2025-11-14,Debit Card,Delivered
ORD000408,CUST01563,2026-02-26,Credit Card,Delivered
ORD000409,CUST02948,2026-01-15,UPI,Delivered
ORD000410,CUST11091,2024-11-07,Debit Card,Delivered
ORD000411,CUST11106,2024-11-17,Net Banking,Delivered
ORD000412,CUST11088,2025-09-22,Net Banking,Returned
ORD000413,CUST02740,2025-06-03,UPI,Cancelled
ORD000414,CUST05037,2026-04-30,Credit Card,Delivered
ORD000415,CUST06632,2024-03-04,COD,Delivered
ORD000416,CUST09779,2025-10-30,Net Banking,Delivered
ORD000417,CUST04768,2025-03-07,Credit Card,Delivered
ORD000418,CUST00529,2026-06-08,Credit Card,Delivered
ORD000419,CUST03351,2025-10-20,Debit Card,Delivered
ORD000420,CUST11566,2025-10-10,COD,Delivered
ORD000421,CUST09612,2025-08-06,UPI,Delivered
ORD000422,CUST04662,2025-01-03,Net Banking,Delivered
ORD000423,CUST08717,2024-01-15,COD,Delivered
ORD000424,CUST11978,2025-04-26,Credit Card,Delivered
ORD000425,CUST09156,2024-11-19,COD,Delivered
ORD000426,CUST06902,2024-11-14,Debit Card,Delivered
ORD000427,CUST08642,2024-03-31,Debit Card,Delivered
ORD000428,CUST08975,2026-07-22,Credit Card,Delivered
ORD000429,CUST01764,2024-10-29,Credit Card,Delivered
ORD000430,CUST10302,2024-09-25,UPI,Delivered
ORD000431,CUST09417,2025-04-24,Net Banking,Delivered
ORD000432,CUST06808,2024-04-08,Net Banking,Returned
ORD000433,CUST00497,2025-01-02,COD,Delivered
ORD000434,CUST02887,2024-10-28,Net Banking,Pending
ORD000435,CUST08400,2026-03-14,Credit Card,Pending
ORD000436,CUST05585,2024-01-10,COD,Delivered
ORD000437,CUST01502,2025-03-14,Net Banking,Delivered
ORD000438,CUST10696,2025-06-18,UPI,Returned
ORD000439,CUST10909,2024-10-05,Credit Card,Delivered
ORD000440,CUST06198,2024-03-08,Credit Card,Delivered
ORD000441,CUST01780,2026-07-28,Net Banking,Delivered
ORD000442,CUST09606,2024-05-12,UPI,Delivered
ORD000443,CUST09081,2025-05-30,UPI,Delivered
ORD000444,CUST06359,2025-02-17,Debit Card,Delivered
ORD000445,CUST10226,2024-04-14,Credit Card,Delivered
ORD000446,CUST02502,2026-08-05,Credit Card,Delivered
ORD000447,CUST04507,2024-08-12,Net Banking,Returned
ORD000448,CUST10971,2024-08-27,Net Banking,Delivered
ORD000449,CUST09933,2026-01-13,UPI,Cancelled
ORD000450,CUST03965,2026-06-27,Credit Card,Delivered
ORD000451,CUST04028,2024-04-27,Net Banking,Pending
ORD000452,CUST11977,2025-06-13,UPI,Cancelled
ORD000453,CUST04205,2025-02-19,Credit Card,Delivered
ORD000454,CUST00027,2025-02-20,Debit Card,Delivered
ORD000455,CUST01440,2026-04-05,Credit Card,Returned
ORD000456,CUST01006,2025-09-29,Debit Card,Delivered
ORD000457,CUST09505,2026-04-09,Credit Card,Delivered
ORD000458,CUST11750,2025-12-11,UPI,Delivered
ORD000459,CUST11529,2026-06-28,Credit Card,Delivered
ORD000460,CUST01012,2025-09-07,Net Banking,Delivered
ORD000461,CUST09869,2024-04-21,UPI,Delivered
ORD000462,CUST10465,2024-01-14,Debit Card,Delivered
ORD000463,CUST06494,2026-02-16,Credit Card,Delivered
ORD000464,CUST06006,2025-09-08,Debit Card,Delivered
ORD000465,CUST06790,2026-08-12,Net Banking,Delivered
ORD000466,CUST08522,2025-05-14,UPI,Delivered
ORD000467,CUST06052,2026-03-17,Debit Card,Delivered
ORD000468,CUST04018,2024-08-16,COD,Delivered
ORD000469,CUST03005,2025-11-16,Credit Card,Delivered
ORD000470,CUST11568,2026-07-02,Debit Card,Delivered
ORD000471,CUST06227,2025-02-06,COD,Pending
ORD000472,CUST04363,2024-04-16,COD,Delivered
ORD000473,CUST03458,2026-03-15,Net Banking,Delivered
ORD000474,CUST05177,2024-08-26,Debit Card,Delivered
ORD000475,CUST06943,2024-01-03,Net Banking,Delivered
ORD000476,CUST11641,2026-01-29,Credit Card,Delivered
ORD000477,CUST02235,2026-08-08,UPI,Delivered
ORD000478,CUST10719,2025-10-08,COD,Delivered
ORD000479,CUST10926,2024-11-22,Debit Card,Returned
ORD000480,CUST07505,2026-01-26,Credit Card,Delivered
ORD000481,CUST01871,2025-07-17,Debit Card,Delivered
ORD000482,CUST11911,2025-03-13,COD,Delivered
