order_id,product_id,quantity,unit_price,discount,gross_sales,discount_amount,net_sales
ORD013885,PROD0038,5,1310.24,0.1,6551.2,655.12,5896.08
ORD002413,PROD0046,5,423.5,0.1,2117.5,211.75,1905.75
ORD005264,PROD0125,1,1338.46,0.15,1338.46,200.77,1137.69
ORD003271,PROD0288,3,1099.87,0.05,3299.61,164.98,3134.63
ORD013069,PROD0217,2,748.27,0.0,1496.54,0.0,1496.54
ORD011570,PROD0114,3,983.9,0.0,2951.7,0.0,2951.7
ORD012165,PROD0220,5,1249.15,0.15,6245.75,936.86,5308.89
ORD003008,PROD0137,2,445.2,0.2,890.4,178.08,712.32
ORD014752,PROD0260,1,2453.91,0.1,2453.91,245.39,2208.52
ORD006333,PROD0050,5,138.33,0.05,691.65,34.58,657.07
ORD002092,PROD0077,5,372.07,0.2,1860.35,372.07,1488.28
ORD014087,PROD0073,1,3798.83,0.0,3798.83,0.0,3798.83
ORD014308,PROD0015,3,768.6,0.1,2305.8,230.58,2075.22
ORD003451,PROD0020,3,2005.81,0.0,6017.43,0.0,6017.43
ORD003274,PROD0235,4,1069.09,0.0,4276.36,0.0,4276.36
ORD013121,PROD0196,4,624.67,0.0,2498.68,0.0,2498.68
ORD016111,PROD0054,5,1149.11,0.1,5745.55,574.56,5170.99
ORD017943,PROD0253,2,3782.92,0.05,7565.84,378.29,7187.55
ORD010378,PROD0265,2,709.86,0.05,1419.72,70.99,1348.73
ORD015219,PROD0152,3,3664.43,0.1,10993.29,1099.33,9893.96
ORD011567,PROD0028,1,740.62,0.0,740.62,0.0,740.62
ORD008841,PROD0263,2,754.46,0.1,1508.92,150.89,1358.03
ORD014283,PROD0048,4,2692.11,0.0,10768.44,0.0,10768.44
ORD017753,PROD0104,4,917.71,0.2,3670.84,734.17,2936.67
ORD007711,PROD0015,5,768.6,0.1,3843.0,384.3,3458.7
ORD005320,PROD0017,2,5213.81,0.1,10427.62,1042.76,9384.86
ORD002918,PROD0179,2,608.27,0.1,1216.54,121.65,1094.89
ORD010967,PROD0226,3,322.28,0.05,966.84,48.34,918.5
ORD014311,PROD0162,4,377.71,0.15,1510.84,226.63,1284.21
ORD002648,PROD0114,1,983.9,0.0,983.9,0.0,983.9
ORD011683,PROD0134,3,938.67,0.1,2816.01,281.6,2534.41
ORD002382,PROD0204,4,1064.24,0.0,4256.96,0.0,4256.96
ORD016756,PROD0264,4,409.67,0.0,1638.68,0.0,1638.68
ORD005768,PROD0155,1,383.07,0.0,383.07,0.0,383.07
ORD008519,PROD0086,1,1292.77,0.1,1292.77,129.28,1163.49
ORD007865,PROD0105,2,813.74,0.2,1627.48,325.5,1301.98
ORD011308,PROD0070,5,2065.33,0.1,10326.65,1032.66,9293.99
ORD002525,PROD0221,1,861.75,0.1,861.75,86.18,775.57
ORD015685,PROD0240,2,1736.87,0.15,3473.74,521.06,2952.68
ORD015060,PROD0262,5,1081.48,0.0,5407.4,0.0,5407.4
ORD016155,PROD0045,1,1204.82,0.1,1204.82,120.48,1084.34
ORD004824,PROD0256,4,895.23,0.1,3580.92,358.09,3222.83
ORD000915,PROD0168,1,1759.17,0.1,1759.17,175.92,1583.25
ORD001945,PROD0280,2,239.29,0.1,478.58,47.86,430.72
ORD006295,PROD0053,5,499.98,0.0,2499.9,0.0,2499.9
ORD015022,PROD0235,4,1069.09,0.15,4276.36,641.45,3634.91
ORD015925,PROD0187,4,2575.23,0.0,10300.92,0.0,10300.92
ORD000306,PROD0019,5,2132.91,0.15,10664.55,1599.68,9064.87
ORD013269,PROD0294,4,608.79,0.15,2435.16,365.27,2069.89
ORD008457,PROD0037,4,1059.57,0.1,4238.28,423.83,3814.45
ORD011726,PROD0185,2,592.37,0.05,1184.74,59.24,1125.5
ORD006379,PROD0209,2,4636.93,0.0,9273.86,0.0,9273.86
ORD008972,PROD0287,3,1180.58,0.1,3541.74,354.17,3187.57
ORD007936,PROD0038,4,1310.24,0.2,5240.96,1048.19,4192.77
ORD009578,PROD0003,1,2931.9,0.15,2931.9,439.78,2492.12
ORD017117,PROD0137,3,445.2,0.05,1335.6,66.78,1268.82
ORD001361,PROD0159,5,2084.31,0.05,10421.55,521.08,9900.47
ORD009309,PROD0296,3,605.83,0.1,1817.49,181.75,1635.74
ORD003921,PROD0103,5,814.61,0.0,4073.05,0.0,4073.05
ORD007976,PROD0245,5,258.37,0.05,1291.85,64.59,1227.26
ORD012514,PROD0298,2,392.05,0.05,784.1,39.21,744.89
ORD010624,PROD0086,2,1292.77,0.0,2585.54,0.0,2585.54
ORD010413,PROD0006,2,997.09,0.1,1994.18,199.42,1794.76
ORD012811,PROD0271,2,1034.8,0.2,2069.6,413.92,1655.68
ORD002132,PROD0028,3,740.62,0.15,2221.86,333.28,1888.58
ORD006225,PROD0192,4,2094.72,0.05,8378.88,418.94,7959.94
ORD016953,PROD0203,2,1208.94,0.1,2417.88,241.79,2176.09
ORD011789,PROD0138,4,2041.26,0.2,8165.04,1633.01,6532.03
ORD004156,PROD0295,3,450.65,0.05,1351.95,67.6,1284.35
ORD012093,PROD0276,3,1150.97,0.0,3452.91,0.0,3452.91
ORD005713,PROD0125,3,1338.46,0.1,4015.38,401.54,3613.84
ORD000133,PROD0260,3,2453.91,0.2,7361.73,1472.35,5889.38
ORD000491,PROD0174,1,1681.39,0.0,1681.39,0.0,1681.39
ORD004060,PROD0155,5,383.07,0.05,1915.35,95.77,1819.58
ORD013465,PROD0006,1,997.09,0.1,997.09,99.71,897.38
ORD002006,PROD0292,1,526.18,0.0,526.18,0.0,526.18
ORD011270,PROD0119,5,1545.4,0.0,7727.0,0.0,7727.0
ORD006277,PROD0022,3,174.42,0.0,523.26,0.0,523.26
ORD010105,PROD0247,2,1013.19,0.15,2026.38,303.96,1722.42
ORD002618,PROD0217,5,748.27,0.0,3741.35,0.0,3741.35
ORD008167,PROD0288,3,1099.87,0.05,3299.61,164.98,3134.63
ORD016634,PROD0077,2,372.07,0.05,744.14,37.21,706.93
ORD017066,PROD0052,5,1103.19,0.0,5515.95,0.0,5515.95
ORD001624,PROD0157,4,1342.68,0.05,5370.72,268.54,5102.18
ORD002365,PROD0031,1,2790.09,0.2,2790.09,558.02,2232.07
ORD014514,PROD0158,2,1130.19,0.05,2260.38,113.02,2147.36
ORD015888,PROD0078,2,1498.55,0.0,2997.1,0.0,2997.1
ORD013331,PROD0151,5,938.09,0.1,4690.45,469.04,4221.41
ORD004410,PROD0028,5,740.62,0.05,3703.1,185.16,3517.94
ORD007179,PROD0249,5,4012.64,0.05,20063.2,1003.16,19060.04
ORD002115,PROD0168,2,1759.17,0.15,3518.34,527.75,2990.59
ORD000519,PROD0288,4,1099.87,0.05,4399.48,219.97,4179.51
ORD013172,PROD0237,2,1008.9,0.0,2017.8,0.0,2017.8
ORD004684,PROD0196,5,624.67,0.2,3123.35,624.67,2498.68
ORD017012,PROD0279,2,1760.62,0.0,3521.24,0.0,3521.24
ORD009936,PROD0142,4,536.55,0.0,2146.2,0.0,2146.2
ORD017650,PROD0097,1,2244.75,0.1,2244.75,224.48,2020.27
ORD002971,PROD0202,2,1039.91,0.0,2079.82,0.0,2079.82
ORD010109,PROD0122,4,768.92,0.1,3075.68,307.57,2768.11
ORD016275,PROD0264,5,409.67,0.05,2048.35,102.42,1945.93
ORD014517,PROD0205,5,315.35,0.0,1576.75,0.0,1576.75
ORD014353,PROD0185,1,592.37,0.0,592.37,0.0,592.37
ORD001494,PROD0176,1,890.34,0.05,890.34,44.52,845.82
ORD017102,PROD0002,4,1122.65,0.1,4490.6,449.06,4041.54
ORD012844,PROD0290,5,3732.41,0.0,18662.05,0.0,18662.05
ORD009449,PROD0054,3,1149.11,0.1,3447.33,344.73,3102.6
ORD010470,PROD0229,1,251.37,0.05,251.37,12.57,238.8
ORD009940,PROD0140,5,4498.4,0.1,22492.0,2249.2,20242.8
ORD004266,PROD0055,3,1758.65,0.0,5275.95,0.0,5275.95
ORD015245,PROD0069,5,6450.78,0.1,32253.9,3225.39,29028.51
ORD009326,PROD0046,4,423.5,0.05,1694.0,84.7,1609.3
ORD011031,PROD0161,5,1467.22,0.1,7336.1,733.61,6602.49
ORD013463,PROD0086,2,1292.77,0.1,2585.54,258.55,2326.99
ORD017427,PROD0284,3,1551.66,0.1,4654.98,465.5,4189.48
ORD002724,PROD0121,3,1762.91,0.15,5288.73,793.31,4495.42
ORD007903,PROD0011,5,569.66,0.05,2848.3,142.42,2705.88
ORD013781,PROD0183,5,606.73,0.0,3033.65,0.0,3033.65
ORD010758,PROD0165,3,1341.44,0.05,4024.32,201.22,3823.1
ORD016473,PROD0279,5,1760.62,0.05,8803.1,440.16,8362.94
ORD013833,PROD0295,3,450.65,0.0,1351.95,0.0,1351.95
ORD006487,PROD0215,3,496.9,0.1,1490.7,149.07,1341.63
ORD016814,PROD0077,4,372.07,0.1,1488.28,148.83,1339.45
ORD001372,PROD0057,3,1480.61,0.05,4441.83,222.09,4219.74
ORD017342,PROD0225,5,670.12,0.15,3350.6,502.59,2848.01
ORD005019,PROD0273,5,1884.45,0.05,9422.25,471.11,8951.14
ORD014567,PROD0015,5,768.6,0.0,3843.0,0.0,3843.0
ORD013632,PROD0071,5,1519.69,0.05,7598.45,379.92,7218.53
ORD009654,PROD0294,3,608.79,0.05,1826.37,91.32,1735.05
ORD012329,PROD0241,3,215.23,0.1,645.69,64.57,581.12
ORD015091,PROD0065,2,298.49,0.0,596.98,0.0,596.98
ORD011918,PROD0259,2,272.42,0.05,544.84,27.24,517.6
ORD007550,PROD0228,1,1012.55,0.05,1012.55,50.63,961.92
ORD007214,PROD0078,2,1498.55,0.2,2997.1,599.42,2397.68
ORD008672,PROD0150,5,1469.35,0.1,7346.75,734.68,6612.07
ORD015018,PROD0150,1,1469.35,0.1,1469.35,146.94,1322.41
ORD017926,PROD0005,2,5350.44,0.05,10700.88,535.04,10165.84
ORD009160,PROD0087,5,2381.84,0.0,11909.2,0.0,11909.2
ORD003852,PROD0131,1,719.35,0.05,719.35,35.97,683.38
ORD002198,PROD0009,2,419.4,0.05,838.8,41.94,796.86
ORD012344,PROD0154,5,611.42,0.1,3057.1,305.71,2751.39
ORD007410,PROD0169,4,2484.01,0.1,9936.04,993.6,8942.44
ORD001803,PROD0160,4,2652.37,0.15,10609.48,1591.42,9018.06
ORD011087,PROD0147,3,1277.67,0.2,3833.01,766.6,3066.41
ORD008015,PROD0221,3,861.75,0.1,2585.25,258.53,2326.72
ORD015444,PROD0086,1,1292.77,0.1,1292.77,129.28,1163.49
ORD009754,PROD0071,5,1519.69,0.05,7598.45,379.92,7218.53
ORD016027,PROD0014,3,596.75,0.0,1790.25,0.0,1790.25
ORD017957,PROD0017,2,5213.81,0.2,10427.62,2085.52,8342.1
ORD015904,PROD0231,1,1734.21,0.0,1734.21,0.0,1734.21
ORD000993,PROD0140,3,4498.4,0.05,13495.2,674.76,12820.44
ORD005198,PROD0219,5,1088.5,0.0,5442.5,0.0,5442.5
ORD008804,PROD0137,2,445.2,0.05,890.4,44.52,845.88
ORD009052,PROD0141,2,526.7,0.1,1053.4,105.34,948.06
ORD009947,PROD0161,2,1467.22,0.2,2934.44,586.89,2347.55
ORD001960,PROD0197,5,774.0,0.05,3870.0,193.5,3676.5
ORD012429,PROD0167,4,2511.68,0.0,10046.72,0.0,10046.72
ORD017090,PROD0163,2,703.11,0.0,1406.22,0.0,1406.22
ORD011388,PROD0271,4,1034.8,0.0,4139.2,0.0,4139.2
ORD009916,PROD0293,1,1136.47,0.1,1136.47,113.65,1022.82
ORD008303,PROD0272,2,834.67,0.05,1669.34,83.47,1585.87
ORD016252,PROD0133,5,737.29,0.0,3686.45,0.0,3686.45
ORD005772,PROD0232,5,480.05,0.0,2400.25,0.0,2400.25
ORD006444,PROD0016,2,2382.58,0.0,4765.16,0.0,4765.16
ORD009398,PROD0177,3,1733.37,0.0,5200.11,0.0,5200.11
ORD003949,PROD0004,3,1005.11,0.0,3015.33,0.0,3015.33
ORD011890,PROD0137,4,445.2,0.1,1780.8,178.08,1602.72
ORD009883,PROD0123,2,2787.07,0.1,5574.14,557.41,5016.73
ORD010159,PROD0141,4,526.7,0.15,2106.8,316.02,1790.78
ORD014688,PROD0068,2,2579.6,0.0,5159.2,0.0,5159.2
ORD007930,PROD0115,4,1198.13,0.2,4792.52,958.5,3834.02
ORD008292,PROD0047,1,743.87,0.05,743.87,37.19,706.68
ORD001437,PROD0093,5,2481.82,0.05,12409.1,620.46,11788.64
ORD005142,PROD0095,3,853.11,0.05,2559.33,127.97,2431.36
ORD011440,PROD0127,3,1166.2,0.1,3498.6,349.86,3148.74
ORD007850,PROD0130,1,1402.05,0.1,1402.05,140.21,1261.84
ORD015548,PROD0095,5,853.11,0.0,4265.55,0.0,4265.55
ORD016096,PROD0180,3,374.36,0.0,1123.08,0.0,1123.08
ORD007195,PROD0223,1,1507.47,0.15,1507.47,226.12,1281.35
ORD016626,PROD0280,3,239.29,0.1,717.87,71.79,646.08
ORD004309,PROD0139,3,624.58,0.05,1873.74,93.69,1780.05
ORD016402,PROD0175,2,2260.04,0.0,4520.08,0.0,4520.08
ORD001369,PROD0206,1,512.36,0.1,512.36,51.24,461.12
ORD012938,PROD0088,5,255.81,0.15,1279.05,191.86,1087.19
ORD008076,PROD0042,5,5997.9,0.0,29989.5,0.0,29989.5
ORD012037,PROD0124,3,7033.68,0.0,21101.04,0.0,21101.04
ORD012684,PROD0199,2,919.06,0.0,1838.12,0.0,1838.12
ORD013967,PROD0091,1,402.26,0.1,402.26,40.23,362.03
ORD003532,PROD0218,5,852.15,0.1,4260.75,426.08,3834.67
ORD013451,PROD0143,4,2026.75,0.15,8107.0,1216.05,6890.95
ORD004037,PROD0291,4,859.37,0.0,3437.48,0.0,3437.48
ORD006522,PROD0083,1,1558.0,0.15,1558.0,233.7,1324.3
ORD013733,PROD0184,2,734.18,0.15,1468.36,220.25,1248.11
ORD016559,PROD0038,4,1310.24,0.1,5240.96,524.1,4716.86
ORD016520,PROD0254,4,1021.7,0.1,4086.8,408.68,3678.12
ORD009935,PROD0092,3,2466.2,0.05,7398.6,369.93,7028.67
ORD015786,PROD0239,4,3878.85,0.0,15515.4,0.0,15515.4
ORD007945,PROD0260,3,2453.91,0.1,7361.73,736.17,6625.56
ORD006426,PROD0180,2,374.36,0.05,748.72,37.44,711.28
ORD013045,PROD0292,1,526.18,0.0,526.18,0.0,526.18
ORD009761,PROD0169,4,2484.01,0.0,9936.04,0.0,9936.04
ORD017392,PROD0079,4,1557.75,0.1,6231.0,623.1,5607.9
ORD014698,PROD0197,4,774.0,0.05,3096.0,154.8,2941.2
ORD012818,PROD0128,1,414.27,0.05,414.27,20.71,393.56
ORD016459,PROD0216,1,2535.43,0.0,2535.43,0.0,2535.43
ORD007695,PROD0138,4,2041.26,0.05,8165.04,408.25,7756.79
ORD013374,PROD0116,3,435.35,0.05,1306.05,65.3,1240.75
ORD007454,PROD0098,5,1788.67,0.15,8943.35,1341.5,7601.85
ORD006596,PROD0030,1,1536.54,0.1,1536.54,153.65,1382.89
ORD008829,PROD0049,5,474.29,0.05,2371.45,118.57,2252.88
ORD009723,PROD0176,5,890.34,0.1,4451.7,445.17,4006.53
ORD012961,PROD0209,3,4636.93,0.0,13910.79,0.0,13910.79
ORD008658,PROD0245,5,258.37,0.1,1291.85,129.18,1162.67
ORD006301,PROD0066,3,705.54,0.1,2116.62,211.66,1904.96
ORD015630,PROD0046,3,423.5,0.1,1270.5,127.05,1143.45
ORD015982,PROD0061,5,1808.63,0.05,9043.15,452.16,8590.99
ORD015356,PROD0118,4,437.61,0.05,1750.44,87.52,1662.92
ORD016621,PROD0089,2,390.25,0.0,780.5,0.0,780.5
ORD011988,PROD0288,3,1099.87,0.05,3299.61,164.98,3134.63
ORD011411,PROD0240,2,1736.87,0.1,3473.74,347.37,3126.37
ORD005283,PROD0134,4,938.67,0.15,3754.68,563.2,3191.48
ORD015895,PROD0230,4,1187.41,0.05,4749.64,237.48,4512.16
ORD002677,PROD0094,2,1585.84,0.15,3171.68,475.75,2695.93
ORD010259,PROD0250,4,468.3,0.0,1873.2,0.0,1873.2
ORD013807,PROD0132,5,1663.98,0.15,8319.9,1247.98,7071.92
ORD001088,PROD0088,4,255.81,0.1,1023.24,102.32,920.92
ORD012552,PROD0033,2,726.59,0.15,1453.18,217.98,1235.2
ORD007976,PROD0212,5,936.47,0.2,4682.35,936.47,3745.88
ORD009988,PROD0104,2,917.71,0.1,1835.42,183.54,1651.88
ORD008736,PROD0116,2,435.35,0.0,870.7,0.0,870.7
ORD011986,PROD0181,3,218.55,0.2,655.65,131.13,524.52
ORD003893,PROD0180,4,374.36,0.1,1497.44,149.74,1347.7
ORD006548,PROD0271,1,1034.8,0.05,1034.8,51.74,983.06
ORD006220,PROD0185,4,592.37,0.0,2369.48,0.0,2369.48
ORD003639,PROD0257,1,994.46,0.1,994.46,99.45,895.01
ORD016718,PROD0144,1,1097.89,0.05,1097.89,54.89,1043.0
ORD000657,PROD0184,4,734.18,0.0,2936.72,0.0,2936.72
ORD012336,PROD0036,4,2265.4,0.0,9061.6,0.0,9061.6
ORD013134,PROD0073,1,3798.83,0.15,3798.83,569.82,3229.01
ORD006366,PROD0209,1,4636.93,0.0,4636.93,0.0,4636.93
ORD002170,PROD0166,1,655.43,0.0,655.43,0.0,655.43
ORD002825,PROD0172,4,3513.98,0.0,14055.92,0.0,14055.92
ORD000634,PROD0056,4,1815.37,0.1,7261.48,726.15,6535.33
ORD000059,PROD0232,2,480.05,0.15,960.1,144.01,816.09
ORD013735,PROD0010,1,1326.68,0.1,1326.68,132.67,1194.01
ORD013770,PROD0241,4,215.23,0.05,860.92,43.05,817.87
ORD017086,PROD0027,5,5305.88,0.0,26529.4,0.0,26529.4
ORD003434,PROD0222,2,803.44,0.1,1606.88,160.69,1446.19
ORD017929,PROD0210,2,539.67,0.15,1079.34,161.9,917.44
ORD012108,PROD0136,3,4655.74,0.0,13967.22,0.0,13967.22
ORD013610,PROD0062,2,1731.8,0.0,3463.6,0.0,3463.6
ORD009438,PROD0145,3,2107.82,0.05,6323.46,316.17,6007.29
ORD017344,PROD0042,2,5997.9,0.2,11995.8,2399.16,9596.64
ORD012304,PROD0247,5,1013.19,0.0,5065.95,0.0,5065.95
ORD003156,PROD0252,4,1091.64,0.0,4366.56,0.0,4366.56
ORD007738,PROD0016,2,2382.58,0.15,4765.16,714.77,4050.39
ORD010098,PROD0231,2,1734.21,0.1,3468.42,346.84,3121.58
ORD013743,PROD0221,3,861.75,0.05,2585.25,129.26,2455.99
ORD003656,PROD0154,4,611.42,0.15,2445.68,366.85,2078.83
ORD013312,PROD0142,1,536.55,0.2,536.55,107.31,429.24
ORD007441,PROD0161,5,1467.22,0.1,7336.1,733.61,6602.49
ORD008900,PROD0231,1,1734.21,0.05,1734.21,86.71,1647.5
ORD017973,PROD0132,1,1663.98,0.2,1663.98,332.8,1331.18
ORD014420,PROD0217,5,748.27,0.05,3741.35,187.07,3554.28
ORD005452,PROD0159,3,2084.31,0.15,6252.93,937.94,5314.99
ORD004279,PROD0222,4,803.44,0.0,3213.76,0.0,3213.76
ORD016004,PROD0061,5,1808.63,0.0,9043.15,0.0,9043.15
ORD003285,PROD0228,1,1012.55,0.1,1012.55,101.26,911.29
ORD003368,PROD0039,3,748.33,0.2,2244.99,449.0,1795.99
ORD017056,PROD0283,4,1585.65,0.2,6342.6,1268.52,5074.08
ORD002763,PROD0247,2,1013.19,0.05,2026.38,101.32,1925.06
ORD003999,PROD0028,4,740.62,0.05,2962.48,148.12,2814.36
ORD014374,PROD0054,3,1149.11,0.05,3447.33,172.37,3274.96
ORD005700,PROD0046,4,423.5,0.05,1694.0,84.7,1609.3
ORD012079,PROD0036,1,2265.4,0.1,2265.4,226.54,2038.86
ORD010665,PROD0166,2,655.43,0.2,1310.86,262.17,1048.69
ORD013990,PROD0197,4,774.0,0.2,3096.0,619.2,2476.8
ORD005905,PROD0068,4,2579.6,0.2,10318.4,2063.68,8254.72
ORD009222,PROD0148,1,2479.32,0.1,2479.32,247.93,2231.39
ORD001657,PROD0112,3,3157.32,0.2,9471.96,1894.39,7577.57
ORD004297,PROD0287,2,1180.58,0.1,2361.16,236.12,2125.04
ORD003385,PROD0169,2,2484.01,0.0,4968.02,0.0,4968.02
ORD017254,PROD0075,2,993.75,0.0,1987.5,0.0,1987.5
ORD002945,PROD0076,5,1911.33,0.05,9556.65,477.83,9078.82
ORD012226,PROD0202,5,1039.91,0.1,5199.55,519.96,4679.59
ORD012987,PROD0177,2,1733.37,0.1,3466.74,346.67,3120.07
ORD002718,PROD0148,5,2479.32,0.05,12396.6,619.83,11776.77
ORD002185,PROD0123,4,2787.07,0.05,11148.28,557.41,10590.87
ORD008404,PROD0292,4,526.18,0.05,2104.72,105.24,1999.48
ORD013943,PROD0225,2,670.12,0.05,1340.24,67.01,1273.23
ORD004292,PROD0125,2,1338.46,0.05,2676.92,133.85,2543.07
ORD005835,PROD0287,2,1180.58,0.0,2361.16,0.0,2361.16
ORD007404,PROD0137,5,445.2,0.0,2226.0,0.0,2226.0
ORD006808,PROD0245,2,258.37,0.0,516.74,0.0,516.74
ORD010101,PROD0273,1,1884.45,0.0,1884.45,0.0,1884.45
ORD003806,PROD0012,4,2384.44,0.2,9537.76,1907.55,7630.21
ORD016676,PROD0227,4,663.99,0.0,2655.96,0.0,2655.96
ORD011141,PROD0275,3,1740.08,0.1,5220.24,522.02,4698.22
ORD010370,PROD0047,4,743.87,0.15,2975.48,446.32,2529.16
ORD007980,PROD0204,4,1064.24,0.1,4256.96,425.7,3831.26
ORD016716,PROD0156,2,1302.29,0.15,2604.58,390.69,2213.89
ORD003875,PROD0172,3,3513.98,0.0,10541.94,0.0,10541.94
ORD014473,PROD0236,1,1243.22,0.2,1243.22,248.64,994.58
ORD007962,PROD0123,1,2787.07,0.0,2787.07,0.0,2787.07
ORD017776,PROD0269,2,528.68,0.15,1057.36,158.6,898.76
ORD004341,PROD0070,2,2065.33,0.05,4130.66,206.53,3924.13
ORD011578,PROD0091,1,402.26,0.1,402.26,40.23,362.03
ORD007247,PROD0123,1,2787.07,0.0,2787.07,0.0,2787.07
ORD009453,PROD0259,2,272.42,0.05,544.84,27.24,517.6
ORD003476,PROD0201,4,1107.62,0.1,4430.48,443.05,3987.43
ORD005973,PROD0057,1,1480.61,0.1,1480.61,148.06,1332.55
ORD002060,PROD0121,3,1762.91,0.05,5288.73,264.44,5024.29
ORD012940,PROD0211,1,1092.8,0.1,1092.8,109.28,983.52
ORD010343,PROD0296,5,605.83,0.05,3029.15,151.46,2877.69
ORD011787,PROD0124,3,7033.68,0.1,21101.04,2110.1,18990.94
ORD011063,PROD0124,4,7033.68,0.1,28134.72,2813.47,25321.25
ORD014310,PROD0071,1,1519.69,0.2,1519.69,303.94,1215.75
ORD014724,PROD0128,2,414.27,0.0,828.54,0.0,828.54
ORD017020,PROD0197,3,774.0,0.05,2322.0,116.1,2205.9
ORD003305,PROD0141,2,526.7,0.15,1053.4,158.01,895.39
